Organism,Phylum,Category,GC_Content_pct,Genome_Size_Mb,Class,Subclass,Count,Density_per_Mb
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,Triplex_A-philic_DNA_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,Triplex_G-Quadruplex_Overlap,2,0.43
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Cruciform,Cruciform forming IRs,13,2.8
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,Curved_DNA_G-Quadruplex_Overlap,3,0.65
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,i-Motif_R-Loop_Overlap,2,0.43
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,A-philic_DNA_R-Loop_Overlap,2,0.43
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,2,0.43
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Triplex,Sticky DNA,3,0.65
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,Z-DNA_G-Quadruplex_Overlap,4,0.86
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,G-Quadruplex_Curved_DNA_Overlap,5,1.08
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Slipped_DNA,STR,3,0.65
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,R-Loop_A-philic_DNA_Overlap,3,0.65
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,i-Motif_A-philic_DNA_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,Slipped_DNA_Triplex_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,3,0.65
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,R-Loop_Triplex_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,G-Quadruplex_Triplex_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,i-Motif,AC-motif,2,0.43
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,R-Loop_Curved_DNA_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,Curved_DNA_R-Loop_Overlap,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,R-Loop_i-Motif_Overlap,2,0.43
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Non-B_DNA_Clusters,Mixed_Cluster_6_classes,1,0.22
Escherichia coli,Proteobacteria,Free-living,50.8,4.64,Hybrid,R-Loop_Cruciform_Overlap,1,0.22
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,R-Loop,R-loop formation sites,2063,467.64
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Curved_DNA,Local Curvature,23,5.21
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,G-Quadruplex,Two-tetrad weak PQS,20392,4622.43
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,G-Quadruplex,Canonical intramolecular G4,90,20.4
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,703,159.36
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Z-DNA,Z-DNA,2243,508.44
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,A-philic_DNA,A-philic DNA,799,181.12
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Z-DNA,eGZ,143,32.42
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,G-Quadruplex_R-Loop_Overlap,158,35.82
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,G-Quadruplex,Intramolecular G-triplex,484,109.71
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,G-Quadruplex,Extended-loop canonical,343,77.75
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Slipped_DNA,Direct Repeat,125,28.33
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,i-Motif,Canonical i-motif,229,51.91
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,103,23.35
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,R-Loop_G-Quadruplex_Overlap,106,24.03
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,R-Loop_A-philic_DNA_Overlap,19,4.31
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Slipped_DNA,STR,60,13.6
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,G-Quadruplex_Z-DNA_Overlap,18,4.08
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,G-Quadruplex_i-Motif_Overlap,6,1.36
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,G-Quadruplex_Slipped_DNA_Overlap,17,3.85
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Slipped_DNA_G-Quadruplex_Overlap,28,6.35
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,R-Loop_Slipped_DNA_Overlap,4,0.91
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,49,11.11
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Curved_DNA,Global Curvature,43,9.75
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,R-Loop_Z-DNA_Overlap,6,1.36
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Z-DNA_G-Quadruplex_Overlap,27,6.12
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,55,12.47
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Triplex,Triplex,3,0.68
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,i-Motif_A-philic_DNA_Overlap,3,0.68
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,i-Motif_G-Quadruplex_Overlap,7,1.59
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Z-DNA_R-Loop_Overlap,4,0.91
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Cruciform,Cruciform forming IRs,7,1.59
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,G-Quadruplex_Curved_DNA_Overlap,2,0.45
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,R-Loop_i-Motif_Overlap,3,0.68
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Curved_DNA_G-Quadruplex_Overlap,2,0.45
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Slipped_DNA_R-Loop_Overlap,5,1.13
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,G-Quadruplex,Higher-order G4 array/G4-wire,4,0.91
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,Z-DNA_Slipped_DNA_Overlap,4,0.91
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,A-philic_DNA_R-Loop_Overlap,15,3.4
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,G-Quadruplex,Stacked G4s with linker,2,0.45
Mycobacterium tuberculosis,Actinobacteria,Pathogen,65.6,4.41,Hybrid,A-philic_DNA_i-Motif_Overlap,2,0.45
